brand,type,miles,years,location,nowprice,preprice
长安欧尚X5,2021款,0.6万公里,2021-04,成都,6.50,9.65万
捷途X95,2020款,2.9万公里,2020-10,成都,8.00,14.43万
宝马X4,2022款,0.34万公里,2021-12,北京,49.58,60.67万
埃尔法,2020款,1.3万公里,2021-02,杭州,108.00,94.44万
宝马Z4,2019款,0.35万公里,2021-11,北京,43.58,55.23万
菱智,2020款,1.5万公里,2021-04,上海,5.98,9.43万
菱智,2020款,6.9万公里,2020-03,上海,4.18,7.91万
宝骏730,2016款,4万公里,2017-02,上海,3.58,7.58万
海狮S,2021款,3.8万公里,2020-05,上海,4.26,6.06万
五菱宏光,2019款,2.8万公里,2019-04,上海,3.78,6.06万
宝马3系GT,2014款,8万公里,2015-10,杭州,14.90,48.30万
奥迪A4L,2015款,9万公里,2015-07,杭州,12.60,34.91万
奔驰CLA,2020款,2.4万公里,2020-10,杭州,23.80,32.54万
奔驰S级AMG,2014款,5.5万公里,2015-04,北京,162.00,325.42万
宝马M3,2009款,1.9万公里,2011-05,北京,58.00,130.26万
宝马5系,2018款,6万公里,2018-01,沈阳,32.90,54.15万
魅影,2018款,0.5万公里,2021-03,北京,558.00,548.16万
揽胜,2015款,11万公里,2016-04,杭州,66.80,162.60万
埃尔法,2015款,12万公里,2017-04,杭州,68.80,82.39万
领克03,2019款,2万公里,2019-10,丽水,12.30,18.11万
逍客,2017款,2.4万公里,2018-09,丽水,9.88,18.32万
宝马1系,2021款,1万公里,2021-04,丽水,17.20,26.79万
探岳,2021款,0.17万公里,2021-07,丽水,16.98,24.02万
欧陆,2017款,3.6万公里,2018-05,杭州,172.80,329.98万
沃尔沃S60,2017款,6.5万公里,2016-09,杭州,10.80,33.64万
Giulia,2017款,5.4万公里,2019-03,广州,20.80,41.23万
Huracán,2020款,0.15万公里,2022-01,北京,376.00,303.28万
MINI,2007款,4.8万公里,2009-11,北京,6.58,30.39万
宝马3系,2019款,5万公里,2019-06,东莞,,已降9000元
奔驰E级,2019款,3.5万公里,2019-09,东莞,34.88,50.56万
奔驰E级,2021款,6万公里,2021-01,东莞,35.80,46.76万
宝马X3,2022款,0.39万公里,2021-09,上海,39.98,51.65万
幻影,2018款,1.5万公里,2019-02,杭州,688.00,857.52万
奔驰GLC,2017款,9万公里,2017-03,上海,25.58,52.97万
欧陆,2018款,2.6万公里,2020-04,杭州,287.00,339.54万
保时捷911,2018款,0.27万公里,2019-01,杭州,438.00,423.12万
奔驰G级AMG,2019款,4.55万公里,2019-05,青岛,233.80,234.33万
Macan,2020款,2.6万公里,2020-09,青岛,44.80,59.16万
慕尚,2012款,4万公里,2013-02,北京,258.00,1007.32万
别克GL8,2020款,2万公里,2020-08,杭州,37.80,50.57万
途观,2016款,7.9万公里,2016-11,绍兴,9.68,26.68万
欧陆,2018款,1.2万公里,2020-04,杭州,315.00,339.54万
保时捷718,2018款,1.6万公里,2020-08,台州,61.80,61.33万
宝马5系,2014款,11.2万公里,2015-09,武汉,18.98,47.28万
SIENNA,2015款,7.8万公里,2018-07,武汉,28.98,52.10万
宝马X3,2022款,0.62万公里,2021-09,北京,42.98,52.08万
奔驰E级,2019款,4.7万公里,2019-05,沈阳,33.70,48.72万
奔驰M级,2010款,8.31万公里,2011-09,沈阳,12.80,97.48万
Polo,2013款,9.31万公里,2013-07,沈阳,3.10,9.32万
MINI,2019款,4.68万公里,2019-01,北京,21.98,29.50万
奥迪A6L,2018款,5.7万公里,2018-05,沈阳,24.60,45.35万
奥迪Q8,2021款,1.1万公里,2021-09,沈阳,68.90,93.22万
MINI,2014款,9.1万公里,2015-03,北京,11.80,30.94万
宝马3系GT,2018款,6.68万公里,2019-08,北京,22.98,40.14万
奔驰E级新能源,2021款,1万公里,2021-07,杭州,39.90,56.65万
宝马3系(进口),2011款,10万公里,2011-03,杭州,8.80,80.65万
Levante,2021款,1.7万公里,2021-04,武汉,,已降1000元
奔驰GLE,2020款,4.7万公里,2020-07,杭州,62.80,79.00万
普瑞维亚,2012款,15万公里,2011-08,青岛,18.80,66.21万
林肯MKX,2018款,3万公里,2019-04,上海,16.58,50.89万
奔驰E级,2016款,9万公里,2017-03,南宁,31.80,54.25万
宝马3系,2020款,6万公里,2020-07,南宁,25.60,34.62万
宝马5系,2022款,1.2万公里,2022-01,金华,42.88,51.22万
奔驰C级,2022款,0.7万公里,2022-03,金华,33.98,37.93万
ID.4,X,1.81万公里,2021-10,上海,16.68,23.86万
奥迪Q2L,e-tron,2.4万公里,2021-05,临沂,13.98,25.76万
宝马3系,2021款,1.6万公里,2021-04,宁波,34.58,44.49万
Model,3,1.3万公里,2021-02,上海,21.98,28.95万
宝马X5(进口),2017款,4万公里,2018-04,北京,41.58,82.28万
奔驰C级,2016款,9万公里,2017-01,南京,19.98,38.40万
奥迪Q5L,2018款,1.3万公里,2019-12,北京,29.48,44.92万
飞行家,2020款,4.06万公里,2020-09,成都,50.88,74.88万
领航员,2020款,4.6万公里,2021-05,成都,79.80,119.18万
奔驰E级,2017款,7.9万公里,2017-09,北京,31.98,51.54万
飞行家,2021款,1.59万公里,2021-07,成都,46.60,65.11万
凯迪拉克ATS-L,2017款,4万公里,2017-08,广州,11.98,31.89万
奥迪A4L,2018款,4万公里,2018-05,上海,19.67,37.22万
宝马3系,2018款,4.9万公里,2018-02,上海,20.08,39.82万
宝马3系,2021款,3万公里,2021-02,上海,26.82,34.62万
沃尔沃V40,2016款,2.8万公里,2016-07,杭州,9.30,26.58万
途观L,2017款,5万公里,2017-08,上海,14.25,30.05万
奔驰E级(进口),2017款,2.9万公里,2018-01,杭州,34.80,60.57万
高尔夫,2016款,3.5万公里,2018-05,深圳,16.88,26.04万
奔驰GLK级(进口),2008款,13万公里,2009-10,深圳,7.98,75.77万
雷克萨斯ES,2010款,13万公里,2010-06,深圳,8.60,42.33万
锐界,2018款,9万公里,2018-07,深圳,13.80,29.29万
威霆,2021款,5万公里,2021-10,深圳,33.80,31.89万
揽胜,2016款,15万公里,2017-03,深圳,69.80,169.12万
奔驰M级,2014款,10万公里,2014-07,深圳,27.98,98.56万
理想ONE,2021款,1.6万公里,2021-08,深圳,27.80,37.97万
宝马X3,2022款,0.6万公里,2021-10,唐山,39.00,47.41万
宝马X3,2020款,4.42万公里,2020-07,唐山,31.50,46.22万
宝马3系,2015款,8.69万公里,2015-04,天津,15.18,38.95万
奥迪A6L,2017款,6.2万公里,2017-05,北京,23.68,45.46万
奥迪S7,2013款,10万公里,2014-04,青岛,39.80,146.32万
Cayenne,2020款,0.2万公里,2022-04,台州,128.88,125.70万
Taycan,2022款,0.09万公里,2022-07,台州,102.80,96.39万
捷豹F-TYPE,2016款,4万公里,2015-08,青岛,35.80,86.62万
一汽-大众CC,2016款,7.08万公里,2018-02,成都,13.98,29.18万
奔驰C级,2015款,8.5万公里,2015-10,成都,16.58,38.40万
沃尔沃XC60,2018款,7.59万公里,2019-01,成都,20.90,43.41万
途昂,2017款,4.8万公里,2018-01,成都,21.98,40.04万
林肯MKC,2019款,2.4万公里,2020-01,成都,16.98,33.30万
标致4008,2017款,6.23万公里,2017-01,成都,8.78,22.65万
smart,fortwo,4.06万公里,2015-05,成都,4.60,12.48万
宝马X4,M,4.56万公里,2020-01,北京,61.90,100.94万
大切诺基(进口),2015款,7万公里,2017-03,杭州,20.80,66.20万
奔驰E级(进口),2021款,1万公里,2022-01,杭州,40.80,50.45万
奔驰A级(进口),2016款,2.8万公里,2017-03,杭州,11.80,27.57万
明锐,2019款,8.99万公里,2019-01,杭州,7.80,16.27万
保时捷718,2018款,2.7万公里,2019-01,合肥,48.80,59.16万
英菲尼迪Q50L,2018款,6万公里,2019-03,杭州,15.80,32.00万
Model,3,1万公里,2020-03,杭州,18.80,31.67万
Taycan,2019款,0.42万公里,2021-10,上海,,已降3万
保时捷911,2019款,0.77万公里,2020-04,上海,,已降8000元
Macan,2021款,1.37万公里,2021-02,上海,,已降2万
Panamera新能源,2021款,0.09万公里,未上牌,上海,,已降3万
保时捷718,2018款,1万公里,2019-05,上海,,已降4万
Cayenne新能源,2020款,0.88万公里,2021-02,上海,,已降3万
保时捷911,2016款,3.12万公里,2018-01,上海,,已降8000元
Model,3,4.1万公里,2021-03,成都,20.98,27.32万
名图,2021款,1.3万公里,2021-06,昆明,11.88,16.37万
宝马X1,2019款,3.8万公里,2019-04,昆明,16.88,32.22万
途锐,2017款,8.6万公里,2016-08,沈阳,27.90,85.19万
别克GL8,2014款,11.1万公里,2016-04,武汉,6.98,22.69万
保时捷911,2018款,2.8万公里,2019-01,杭州,176.00,203.85万
君威,2010款,9.31万公里,2011-02,苏州,3.48,29.30万
君威,2012款,8.7万公里,2012-11,苏州,4.30,30.82万
奔驰E级,2020款,2万公里,2020-05,杭州,43.80,67.71万
远景X3,2020款,3.5万公里,2021-04,上海,4.88,7.48万
宝骏510,2017款,8万公里,2017-12,上海,3.98,8.23万
长安欧尚A600,2016款,4万公里,2017-05,上海,2.88,7.04万
蒙派克E,2016款,4.8万公里,2018-05,上海,3.58,11.72万
魅影,2013款,4.4万公里,2015-05,北京,339.00,513.43万
法拉利488,2015款,1.8万公里,2017-03,北京,275.80,342.47万
Cayenne,2011款,14万公里,2013-05,北京,36.00,100.08万
奔驰C级AMG,2014款,10万公里,2014-02,北京,52.80,130.04万
添越,2021款,0.1万公里,2022-01,北京,358.00,271.26万
雷克萨斯ES,2013款,12.3万公里,2014-04,南京,15.68,38.97万
宝马5系,2021款,0.9万公里,2022-01,杭州,42.98,50.68万
奔驰E级,2022款,0.8万公里,2022-05,杭州,42.80,47.55万
宝马3系,2021款,1.8万公里,2021-01,杭州,28.38,34.62万
奔驰C级,2022款,0.5万公里,2022-06,杭州,30.88,35.30万
揽境,2022款,0.01万公里,2022-06,福州,29.58,37.44万
奥迪Q3,Sportback,1万公里,2020-11,杭州,22.80,39.27万
奔驰GLA,2017款,2.6万公里,2017-10,温州,14.80,31.57万
奔驰C级(进口),2020款,2万公里,2020-01,温州,31.50,39.16万
奔驰GLA,2018款,6.7万公里,2018-09,东莞,14.88,29.29万
Mustang,2018款,6.1万公里,2018-09,东莞,18.88,43.83万
雷克萨斯ES,2021款,2.5万公里,2021-03,东莞,34.88,41.13万
凯迪拉克CT5,2020款,3万公里,2020-08,东莞,21.58,32.53万
宝马X5(进口),2019款,4万公里,2019-02,常州,,已降3.8万
阿斯顿・马丁DBX,2021款,1.5万公里,2021-06,杭州,206.50,282.01万
奔驰G级,2022款,1.7万公里,2022-03,杭州,229.50,205.37万
奔驰G级AMG,2019款,3万公里,2019-07,杭州,249.50,234.33万
奔驰E级,2016款,5万公里,2018-02,邯郸,33.90,51.54万
奔驰GLK级,2014款,8万公里,2014-10,邯郸,16.70,43.20万
思域,2019款,0.5万公里,2021-01,邯郸,12.98,15.84万
宝骏E300,2020款,1.3万公里,2021-01,邯郸,5.98,7.58万
欧拉好猫,2021款,1.2万公里,2021-01,邯郸,11.98,13.45万
MINI,2014款,4万公里,2015-06,邯郸,12.98,27.68万
高尔夫,2012款,10万公里,2012-01,邯郸,4.69,15.72万
途观L,2021款,2.4万公里,2021-01,邯郸,18.39,27.12万
库里南,2018款,3.7万公里,2019-09,杭州,558.80,662.14万
法拉利F8,2020款,0.19万公里,2021-01,北京,479.00,378.61万
Cayman,2013款,8.2万公里,2014-05,北京,34.00,78.91万
奔驰G级,2017款,5.8万公里,2018-07,杭州,115.00,133.38万
奔驰G级,2020款,3.5万公里,2020-11,杭州,162.50,155.20万
途锐,2021款,0.5万公里,2021-06,郑州,57.90,78.02万
Cayenne,2022款,2万公里,2021-09,杭州,96.80,110.50万
阿斯顿・马丁DB11,2019款,2.1万公里,2018-08,杭州,179.50,239.67万
小鹏P7,2021款,0.05万公里,2021-11,杭州,33.80,46.66万
幻影,2018款,1.7万公里,2019-06,杭州,697.00,857.52万
英菲尼迪Q50L,2016款,7万公里,2017-11,上海,,已降1.3万
迈巴赫S级,2021款,2.8万公里,2021-06,杭州,152.80,159.35万
保时捷911,2020款,0.5万公里,2021-10,杭州,253.80,253.57万
奔驰E级,2020款,5万公里,2020-06,杭州,38.80,50.56万
Panamera,2019款,2.35万公里,2021-03,成都,123.80,126.78万
Cayenne,2020款,0.01万公里,未上牌,成都,133.10,125.70万
保时捷911,2017款,3.92万公里,2020-01,成都,129.80,166.95万
Cayenne新能源,2021款,1.18万公里,2021-03,成都,88.80,94.22万
Panamera新能源,2021款,0.71万公里,2022-03,成都,135.80,126.78万
Cayenne,2019款,0.01万公里,未上牌,成都,224.66,207.11万
Taycan,2022款,0.14万公里,2022-06,成都,95.80,96.39万
Rapide,2013款,4.3万公里,2016-09,成都,99.80,389.55万
保时捷911,2020款,2.1万公里,2021-03,成都,142.80,145.78万
Taycan,2019款,0.83万公里,2021-08,成都,108.80,124.61万
Panamera新能源,2021款,1.5万公里,2021-11,成都,145.80,160.43万
Cayenne,2019款,0.55万公里,2021-12,成都,116.80,108.33万
奔驰GLE新能源,2017款,5.9万公里,2018-03,上海,49.80,119.38万
奔驰E级(进口),2020款,4万公里,2020-03,杭州,36.80,56.64万
揽胜,2019款,4.8万公里,2019-11,郑州,116.80,170.74万
奥迪A8,2017款,10.3万公里,2017-01,郑州,39.30,100.60万
揽胜星脉,2020款,4.99万公里,2021-01,杭州,38.80,62.18万
奔驰C级,2018款,2.16万公里,2018-08,合肥,20.80,33.95万
威霆,2020款,2.03万公里,2020-11,合肥,35.80,37.10万
捷豹XEL,2021款,0.93万公里,2022-05,合肥,23.60,36.56万
牧马人,2019款,1.88万公里,2020-05,合肥,40.80,49.92万
奥德赛,2022款,0.17万公里,2022-09,合肥,30.90,35.69万
奔驰S级,2017款,4.35万公里,2017-05,合肥,59.60,101.82万
凯迪拉克CT5,2020款,2.8万公里,2020-11,东莞,24.88,36.87万
保时捷911,2014款,0.6万公里,2015-01,北京,160.00,252.59万
宝马X5,M,0.9万公里,2020-08,北京,119.00,156.19万
宝马3系,2021款,0.03万公里,未上牌,北京,31.22,31.90万
宝马3系,2018款,4.9万公里,2018-11,北京,20.50,37.97万
宝马X4,2022款,0.5万公里,2022-06,杭州,44.80,56.00万
奔驰GLC,2018款,10万公里,2018-03,杭州,23.90,46.78万
雷克萨斯ES,2013款,14万公里,2012-12,杭州,11.90,38.97万
奔驰CLS,2015款,8万公里,2016-03,杭州,24.80,77.94万
Ghibli,2022款,0.52万公里,2022-01,合肥,65.80,86.38万
宝马X3,2022款,0.01万公里,2022-04,北京,39.28,47.41万
宝马X1,2022款,0.01万公里,未上牌,北京,20.80,32.43万
Cayenne,2019款,1.6万公里,2020-04,合肥,85.80,99.10万
奔驰S级,2018款,5.98万公里,2020-05,合肥,117.00,
别克GL8,2022款,0.01万公里,未上牌,合肥,36.50,34.51万
奔驰GLE轿跑,2017款,6.29万公里,2018-01,合肥,44.90,94.22万
奔驰CLA,2022款,1.3万公里,2022-04,合肥,26.80,32.54万
Panamera,2019款,4.8万公里,2020-07,合肥,117.50,130.91万
普拉多,2019款,3.8万公里,2020-01,合肥,56.99,54.79万
保时捷718,2016款,4.4万公里,2017-01,合肥,39.80,63.83万
沃尔沃XC60,2021款,2.9万公里,2021-07,合肥,26.30,42.43万
捷豹XFL,2020款,2.29万公里,2021-06,合肥,23.90,45.68万
奥迪Q5L,2022款,0.5万公里,2022-03,合肥,34.99,45.13万
宝马7系,2021款,2.9万公里,2021-01,合肥,71.90,101.82万
奔驰C级,2016款,7万公里,2016-04,沈阳,17.80,38.40万
奥迪A7,2016款,5万公里,2016-06,沈阳,30.90,88.79万
Taycan,2022款,0.65万公里,2022-01,台州,,已降2万
Cayenne,2020款,1.8万公里,2021-12,台州,120.80,125.70万
宝马iX3,2021款,1.1万公里,2020-12,北京,31.68,47.75万
奔驰E级,2020款,3.36万公里,2019-10,北京,39.68,50.56万
宝马iX,2022款,0.01万公里,2022-10,北京,62.98,81.07万
亚洲龙,2022款,1万公里,2022-06,天津,20.98,27.98万
Cayenne,2014款,23.9万公里,2013-10,杭州,24.80,114.84万
保时捷911,2012款,4.2万公里,2014-11,上海,77.80,159.02万
Panamera,2021款,2.4万公里,2022-01,杭州,136.80,130.91万
沃尔沃S60,2022款,0.7万公里,2022-01,上海,21.00,33.31万
欧陆,2020款,0.9万公里,2021-04,北京,369.00,298.61万
宝马X5(进口),2021款,3万公里,2021-02,北京,75.98,82.48万
宝马X7,2020款,3.42万公里,2020-05,北京,90.68,108.55万
宝马3系,2021款,1.12万公里,2021-08,北京,33.98,44.49万
宝马8系,2019款,2.24万公里,2020-01,北京,78.98,117.01万
MINI,JCW,2.51万公里,2021-01,北京,30.98,35.36万
宝马iX3,2022款,4.15万公里,2021-12,北京,32.98,47.75万
宝马iX3,2021款,1.03万公里,2021-04,北京,31.98,47.75万
宝马X2,2021款,0.87万公里,2021-09,北京,20.98,31.46万
宝马5系,2021款,2.5万公里,2021-05,北京,32.98,52.85万
宝马3系,2022款,0.15万公里,未上牌,北京,35.68,37.66万
宝马M3,2021款,0.7万公里,2021-11,北京,93.98,92.25万
宝马X5新能源(进口),2020款,1.92万公里,2021-04,北京,69.98,92.25万
宝马1系,2021款,0.01万公里,未上牌,北京,17.28,24.62万
MINI,JCW,2.17万公里,2020-04,北京,35.98,46.65万
宝马X2,2021款,1.61万公里,2021-05,北京,20.98,35.80万
宝马X2,2021款,1.23万公里,2021-07,北京,22.98,35.80万
宝马3系,2021款,0.02万公里,未上牌,北京,32.98,39.28万
宝马7系,2019款,2.21万公里,2020-05,北京,118.98,215.79万
宝马M8,2019款,0.1万公里,2021-02,北京,178.98,213.62万
宝马X1新能源,2017款,5.16万公里,2018-03,北京,15.98,43.29万
宝马3系,2021款,0.96万公里,2021-03,北京,21.68,31.90万
宝马iX3,2021款,0.2万公里,2021-08,北京,31.98,47.75万
宝马X5新能源(进口),2020款,2.69万公里,2020-06,北京,69.98,92.25万
宝马6系GT,2021款,1.01万公里,2021-04,北京,49.98,63.92万
宝马X4,2014款,9.87万公里,2018-03,北京,21.98,59.68万
宝马i3(进口),2018款,2.13万公里,2018-10,北京,14.38,36.88万
宝马i4,2022款,1.13万公里,2022-04,北京,50.98,58.60万
宝马X3,2020款,6.85万公里,2020-07,北京,28.98,42.31万
宝马iX3,2021款,1.24万公里,2020-10,北京,27.98,43.41万
宝马6系GT,2019款,7.95万公里,2019-06,北京,37.98,63.38万
宝马iX3,2021款,2.03万公里,2021-07,北京,32.98,47.75万
宝马3系,2020款,6.4万公里,2020-01,广州,26.80,35.81万
宝马iX3,2022款,0.77万公里,2021-10,北京,30.98,47.75万
宝马5系(进口),2011款,18万公里,2011-02,广州,16.38,81.58万
小鹏P7,2021款,2万公里,2022-04,广州,18.60,27.13万
ZEEKR,001,0.01万公里,2022-08,广州,30.80,32.46万
凌派,2019款,1万公里,2020-11,广州,7.88,13.00万
凯美瑞,2018款,9万公里,2018-02,广州,14.80,23.86万
捷豹XEL,2020款,3.8万公里,2021-02,烟台,21.20,34.71万
捷豹XEL,2021款,0.55万公里,2021-09,烟台,22.60,35.47万
发现运动版,2020款,2.2万公里,2021-01,烟台,22.80,41.55万
揽胜运动版,2018款,7.2万公里,2019-04,东莞,67.80,111.59万
宝马M3,2021款,0.7万公里,2022-01,东莞,103.80,97.68万
奔驰E级,2021款,2.3万公里,2021-07,东莞,42.50,47.75万
Aventador,2011款,1.34万公里,2013-05,东莞,320.00,704.25万
迈凯伦650S,2014款,1.1万公里,2014-10,东莞,198.00,441.57万
Roma,2020款,1.3万公里,2022-07,东莞,275.00,262.47万
奥迪A6L,2016款,15.6万公里,2016-06,中山,21.80,56.98万
奥迪A3,2016款,10.7万公里,2016-06,中山,8.80,25.17万
奥迪Q7,2016款,9.9万公里,2017-07,中山,30.50,85.62万
奥迪A4L,2013款,10.5万公里,2014-07,中山,10.60,35.81万
迈巴赫S级,2018款,3.6万公里,2018-06,三明,103.80,151.84万
揽胜,2019款,4万公里,2020-04,三明,109.80,132.97万
奔驰GLE轿跑,AMG,2.7万公里,2021-01,三明,,已降1000元
宝马X5(进口),2020款,2.8万公里,2020-01,三明,65.80,82.48万
奔驰GLE,AMG,1.2万公里,2022-01,三明,103.80,107.93万
揽胜,2023款,0.15万公里,2022-09,三明,161.80,155.01万
Panamera,2017款,7.3万公里,2018-02,武汉,83.80,105.62万
奔驰G级,2020款,2.4万公里,2021-07,三明,167.80,155.20万
雷克萨斯RX,2020款,1.4万公里,2021-06,北京,39.30,47.22万
Cayenne,2022款,1.2万公里,2022-03,三明,116.80,114.84万
迈巴赫S级,2018款,7万公里,2017-11,武汉,99.80,151.84万
普拉多,2018款,6.9万公里,2018-09,武汉,45.80,53.17万
AMG,GT,2.29万公里,2020-04,武汉,76.80,105.70万
Cayenne,2022款,1.3万公里,2022-01,三明,113.80,114.84万
AMG,GT,1.7万公里,2021-07,苏州,84.90,106.90万
宝马5系,2020款,3万公里,2020-10,苏州,39.90,55.02万
宝马4系,2019款,4.6万公里,2020-01,广州,30.68,48.82万
奔驰C级,2020款,2.85万公里,2020-04,合肥,24.30,33.74万
Ghibli,2014款,7.4万公里,2015-09,东莞,37.80,97.48万
途昂,2019款,4.9万公里,2019-06,无锡,22.90,39.07万
亚洲龙,2019款,6.3万公里,2020-05,无锡,15.30,23.64万
Stelvio斯坦维,2017款,5.5万公里,2019-04,无锡,20.70,46.33万
奔驰GLE,2018款,8.81万公里,2018-01,无锡,43.70,81.39万
Giulia,2017款,2.4万公里,2018-02,无锡,18.30,37.97万
奥迪S3,2019款,4.58万公里,2019-03,无锡,25.30,39.49万
Cayenne,2016款,5万公里,2017-01,无锡,76.70,172.16万
奔驰A级AMG(进口),2016款,7.4万公里,2016-11,无锡,23.70,54.06万
宝马X1,2016款,6.6万公里,2017-05,无锡,15.30,37.45万
凯美瑞,2018款,7.6万公里,2018-06,无锡,14.30,23.86万
马自达CX-4,2018款,3.9万公里,2019-07,无锡,9.90,16.59万
思域,2019款,1.7万公里,2021-01,无锡,11.40,15.19万
途观L,2019款,4.5万公里,2019-07,无锡,14.30,24.08万
奥迪A6L,2018款,6.9万公里,2018-12,无锡,27.80,54.99万
沃尔沃V40,2018款,2.4万公里,2019-03,无锡,12.30,27.02万
沃尔沃V60,2017款,4.3万公里,2016-12,无锡,13.90,33.96万
高尔夫,2016款,3.5万公里,2016-09,无锡,7.60,16.81万
凯迪拉克XTS,2018款,6.6万公里,2018-06,无锡,16.80,34.72万
沃尔沃S60,2014款,7.6万公里,2014-01,无锡,8.90,36.35万
高尔夫,2018款,4.5万公里,2018-03,无锡,10.30,18.66万
奔驰CLA,2017款,5万公里,2017-08,无锡,14.80,28.98万
宝马Z4,2019款,1.5万公里,2021-07,无锡,51.70,68.80万
菲斯塔,2019款,2.9万公里,2019-01,无锡,9.70,15.28万
捷豹F-PACE,2018款,5万公里,2018-06,无锡,21.90,55.14万
凯迪拉克XTS,2018款,5.7万公里,2018-05,无锡,14.90,32.55万
宝马3系,2014款,6.1万公里,2014-07,无锡,13.90,38.95万
捷豹XEL,2019款,2.9万公里,2019-02,无锡,17.50,36.67万
奔驰GLE轿跑,2017款,3.7万公里,2017-07,苏州,43.80,94.22万
奔驰E级,2021款,4.6万公里,2021-01,苏州,46.90,54.03万
揽胜极光(进口),2016款,9.6万公里,2017-02,苏州,25.90,75.77万
欧陆,2014款,4.7万公里,2015-12,苏州,135.80,351.48万
途锐,2021款,4.2万公里,2021-04,苏州,42.90,68.36万
奥迪Q5L,2020款,4万公里,2021-03,苏州,30.50,45.13万
航海家(进口),2019款,3.71万公里,2019-04,合肥,24.80,56.31万
红旗H5经典,2019款,1.5万公里,2019-12,常州,9.58,15.93万
发现,2017款,4.7万公里,2018-09,苏州,42.80,92.05万
逍客,2019款,5.9万公里,2018-12,常州,9.78,16.81万
宝马5系,2021款,2万公里,2020-10,武汉,45.80,59.69万
宝马5系(进口),2021款,1.6万公里,2021-05,武汉,53.80,65.55万
保时捷718,2020款,2.6万公里,2020-11,武汉,59.80,61.33万
MINI,2021款,1万公里,2021-06,武汉,25.80,30.81万
奔驰GLS,2021款,1万公里,2022-08,重庆,107.80,
宝马5系,2021款,4.3万公里,2021-02,苏州,39.90,50.68万
威霆,2020款,5万公里,2020-09,苏州,28.90,31.46万
奥迪A7L,2022款,0.1万公里,2022-10,武汉,51.80,53.18万
保时捷718,2020款,3.4万公里,2020-05,武汉,58.80,61.33万
奔驰E级,2021款,2.5万公里,2021-01,武汉,45.80,54.03万
Taycan,2020款,1.6万公里,2021-11,武汉,81.80,96.39万
Macan,2022款,0.7万公里,2022-05,武汉,58.80,60.14万
奥迪Q7,2021款,3万公里,2021-06,武汉,52.98,74.77万
揽胜运动版,2020款,1.41万公里,2021-05,合肥,81.60,109.20万
Boxster,2013款,5.8万公里,2015-09,广州,36.88,78.81万
威尔法,2021款,0.98万公里,2021-09,合肥,96.80,96.61万
奔驰E级,2021款,5.1万公里,2020-11,东莞,44.80,50.78万
英仕派,2022款,0.7万公里,2022-01,无锡,15.90,20.94万
发现运动版,2022款,0.19万公里,2022-08,无锡,26.30,41.55万
马自达3,昂克赛拉,0.25万公里,2020-09,无锡,11.30,15.51万
奥迪Q2L,2020款,3.2万公里,2020-07,无锡,14.30,23.75万
宝马X4,2020款,3.7万公里,2020-04,无锡,34.70,49.49万
奥迪Q5L,2020款,1.8万公里,2021-05,无锡,32.70,48.33万
别克GL8,2021款,3.6万公里,2021-05,无锡,22.90,30.38万
途观L,2020款,2.9万公里,2020-07,无锡,16.90,27.55万
埃尔法,2015款,9.2万公里,2017-09,北京,79.80,88.36万
迈锐宝XL,2016款,4.6万公里,2017-02,泉州,7.80,19.53万
揽胜,2018款,9.31万公里,2018-05,泉州,108.00,174.54万
奥迪Q7,2020款,3.65万公里,2020-11,合肥,56.80,85.62万
途观L,2019款,3万公里,2019-07,常州,14.98,24.08万
普拉多,2014款,13.4万公里,2014-07,北京,36.98,65.35万
宝马X5(进口),2019款,3.7万公里,2019-10,合肥,62.58,82.48万
发现,2020款,2.26万公里,2021-03,合肥,56.80,83.45万
奥迪A6L,2019款,3.49万公里,2020-01,合肥,32.50,44.48万
宝马7系,2021款,0.14万公里,2022-06,合肥,81.60,101.82万
奔驰G级AMG,2013款,4.2万公里,2013-11,北京,173.80,410.31万
Ghibli,2019款,1.99万公里,2020-01,合肥,61.80,85.62万
揽胜运动版,2020款,3.88万公里,2020-10,合肥,77.80,109.20万
途观L,2017款,9万公里,2017-02,常州,13.78,30.05万
奥迪A6L,2022款,0.01万公里,2022-11,合肥,38.80,46.45万
奥迪A6L,2019款,3.5万公里,2020-01,合肥,34.60,47.09万
奥迪Q5L,2021款,2.21万公里,2021-10,合肥,34.30,48.87万
宝马X6,2021款,2万公里,2021-04,合肥,72.60,90.84万
奔驰C级,2021款,2.64万公里,2021-02,合肥,27.90,38.73万
奔驰GLC,2022款,0.42万公里,2022-03,合肥,36.80,43.69万
奔驰GLC,2022款,0.75万公里,2022-05,合肥,41.50,49.37万
奔驰S级,2022款,1.7万公里,2022-04,合肥,118.80,134.48万
Cayenne新能源,2021款,1.62万公里,2021-01,合肥,81.80,94.22万
奥迪A6L,2015款,12万公里,2015-12,常州,15.98,43.22万
发现,2020款,1.68万公里,2020-05,合肥,54.90,80.63万
宝马X5,2022款,0.62万公里,2022-08,合肥,65.80,68.93万
奔驰G级,2020款,1.58万公里,2022-02,合肥,175.80,155.20万
Model,Y,2.12万公里,2022-01,北京,24.68,31.67万
奥迪A6L,2021款,2.47万公里,2021-11,合肥,38.50,50.89万
智跑,2019款,6.5万公里,2019-01,常州,9.78,15.19万
Model,Y,0.73万公里,2022-08,北京,26.60,34.40万
MINI,COUNTRYMAN,7万公里,2012-04,常州,8.58,40.81万
